network,station_code,station_name,lat,lon,valid_time_utc,ground_pm25_3h,n_obs
Lao PDR AQMS,AQMS02,Thakhek,17.40475,104.80825,2023-05-09 19:30:00+00:00,14.333333,3.0
Lao PDR AQMS,AQMS05,Luang Namtha,20.93075,101.4157778,2023-05-09 19:30:00+00:00,14.566667,3.0
