location_id,location_name,sensor_id,sensor_name,latitude,longitude,country,provider,owner,instruments,monitor
225636,Khao Noi Fire Station,16312718,pm25 µg/m³,14.526343,100.926047,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225637,South Bangkok Power Plant,1304404,pm25 µg/m³,13.618,100.5562,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225638,Samyan Mitrtown,1304216,pm25 µg/m³,13.733136,100.52829,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225638,Samyan Mitrtown,16312886,pm25 µg/m³,13.733136,100.52829,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225639,"City Hall, Narathiwat",1304162,pm25 µg/m³,6.426853,101.823388,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225639,"City Hall, Narathiwat",16312653,pm25 µg/m³,6.426853,101.823388,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225640,Library under King Taksin Bridge,16312735,pm25 µg/m³,13.719705,100.508782,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225640,Library under King Taksin Bridge,1304353,pm25 µg/m³,13.719705,100.508782,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225641,"Din Dang, Bangkok",1304357,pm25 µg/m³,13.7619223,100.558606,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225641,"Din Dang, Bangkok",16312664,pm25 µg/m³,13.7619223,100.558606,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225642,"Bang Phlat District Office, Bangkok",16312587,pm25 µg/m³,13.793965,100.504956,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225642,"Bang Phlat District Office, Bangkok",1304146,pm25 µg/m³,13.793965,100.504956,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
