network,station_code,initialization_time_utc,datetime_utc,observed_pm25,obs_n_obs,GEOSPM25,forecast_day,station_name
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 10:30:00+00:00,27.1,3,28.10715675354004,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 10:30:00+00:00,30.733333,3,27.28060531616211,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 13:30:00+00:00,40.166667,3,31.216552734375,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 13:30:00+00:00,45.633333,3,23.093490600585938,1,Xaythany
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 16:30:00+00:00,49.766667,3,18.079309463500977,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 19:30:00+00:00,29.566667,3,20.131420135498047,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 19:30:00+00:00,26.833333,3,20.497766494750977,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 22:30:00+00:00,31.0,3,21.48768615722656,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 22:30:00+00:00,21.033333,3,21.14307975769043,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 01:30:00+00:00,34.2,3,26.341251373291016,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-09 00:00:00+00:00,2020-02-09 01:30:00+00:00,61.0,3,25.522430419921875,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 04:30:00+00:00,23.966667,3,18.763486862182617,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 07:30:00+00:00,10.0,3,17.152423858642578,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-09 00:00:00+00:00,2020-02-09 07:30:00+00:00,9.966667,3,19.17966651916504,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 10:30:00+00:00,12.833333,3,22.54054069519043,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-09 00:00:00+00:00,2020-02-09 10:30:00+00:00,12.733333,3,26.08374786376953,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 13:30:00+00:00,24.566667,3,28.054134368896484,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 16:30:00+00:00,10.533333,3,31.031095504760746,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-09 00:00:00+00:00,2020-02-09 16:30:00+00:00,13.633333,3,33.14020919799805,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 19:30:00+00:00,7.566667,3,35.67618942260742,1,Vientiane
