network,stations,N,IOA,r,slope,RMSE,mean_bias,start_utc,end_utc
Thai PCD,96,412300,0.6041218902137789,0.4643168634564967,0.683643982152758,22.838200365046735,8.801461620976731,2020-12-31 19:30:00+00:00,2024-09-30 22:30:00+00:00
Lao PDR AQMS,11,29470,0.18041807572345636,0.08477788111057016,0.02961350398508241,159.55783678470615,-17.08141276740519,2020-01-21 16:30:00+00:00,2024-09-30 22:30:00+00:00
