path,size_bytes,sha256,source,training_purpose,redistribution_status
data/module2/pcd/th101t.csv,10883,0e49d4eaec3c4be1e3d7966f2a9dabaa15b69a12c248c3540189caac039fc07b,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th102t.csv,12085,625029a2030e0b2f8ae5c8df85e3050b80b724e023cd23e1b2b1c6b61396648d,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th103t.csv,18857,9723926646217cc359ae678e4fc33e4fdd6c759270c8a5819d75f214d78d2e84,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th104t.csv,10121,a8a87eccc0cbe580ca31b5efedb5527cabe33a685db49d791dce9d4540d79c43,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th105t.csv,15497,702660203815b39db5c6fa0da875157cff04a0028c40f622255f4a4e30241fd3,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th106t.csv,10961,1e686470d9bbba3666671c755f5dddbac534fecf729fe8e88d8c56ccc93a76cd,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th107t.csv,10625,dcc9eba0e53af3b09ea430237a0e9701903a5c7fb42493a1bfc2ca9a51e9148a,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th108t.csv,14153,9073732fc76a2cce1e3f49aaec8ec49ec71809e10b91f28d41db722e775cc618,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th109t.csv,11801,a1f719e261c8d4a2b3917c34fee16fefb5cd58c5d8e07d0b599eca5bc80cbd9a,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th10t.csv,14318,ffec65db08c275b9a6e38476867e51f7c9a60341d49c9ac8b68fd68894cef08e,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th110t.csv,11633,20e1f801277f2f566cb8211bf317d4dd633f37caf8fc4ecd7d893258a44eb0f8,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th111t.csv,12809,5007eff700bb5dec433bba59a6829614bf41b746caf10c51ec3ff99c59f6ccfd,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th112t.csv,12881,51058ee9535e064cb5dab87a5c65826b0bcdb038192045ef26d2bee14b72ab7b,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th11t.csv,12640,48457c11dd83ab89b0ead0dd63bc6d4b8aa79e1b50ab60723ba026a1bff8703e,Thai PCD,Ground-station QA/QC,confirm before public release
