date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,28.0,53.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,01:00,25.0,47.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,02:00,29.0,55.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,03:00,28.0,53.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,04:00,25.0,47.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,05:00,24.0,46.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,06:00,26.0,49.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,07:00,25.0,47.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,08:00,24.0,44.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,09:00,22.0,41.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,10:00,19.0,34.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,11:00,17.0,30.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,12:00,16.0,29.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,13:00,21.0,38.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,14:00,21.0,39.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,15:00,19.0,35.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,16:00,21.0,38.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,17:00,20.0,36.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,18:00,18.0,32.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,19:00,19.0,34.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,20:00,19.0,35.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,21:00,23.0,42.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,22:00,23.0,44.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-01,23:00,24.0,44.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,00:00,26.0,49.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,01:00,26.0,48.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,02:00,27.0,51.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,03:00,25.0,47.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,04:00,27.0,51.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,05:00,27.0,51.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,06:00,29.0,55.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,07:00,30.0,56.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,08:00,27.0,50.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,09:00,24.0,45.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,10:00,27.0,50.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,11:00,18.0,32.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,12:00,20.0,37.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,13:00,21.0,38.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,14:00,21.0,39.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,15:00,21.0,39.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,16:00,24.0,44.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,17:00,25.0,46.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,18:00,22.0,41.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,19:00,23.0,43.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,20:00,28.0,53.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,21:00,33.0,63.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,22:00,34.0,64.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-02,23:00,32.0,61.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,00:00,31.0,59.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,01:00,33.0,64.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,02:00,31.0,58.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,03:00,35.0,67.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,04:00,34.0,64.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,05:00,33.0,63.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,06:00,32.0,60.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,07:00,34.0,64.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,08:00,33.0,62.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,09:00,32.0,61.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,10:00,35.0,67.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,11:00,33.0,62.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,12:00,30.0,57.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,13:00,28.0,53.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,14:00,28.0,52.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,15:00,23.0,42.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,16:00,27.0,51.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,17:00,33.0,62.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,18:00,35.0,68.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,19:00,37.0,70.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,20:00,38.0,73.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,21:00,40.0,78.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,22:00,39.0,74.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-03,23:00,40.0,76.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,00:00,38.0,74.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,01:00,38.0,73.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,02:00,52.0,100.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,03:00,49.0,94.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,04:00,49.0,95.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,05:00,47.0,91.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,06:00,51.0,99.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,07:00,55.0,106.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,08:00,41.0,78.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,09:00,38.0,72.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,10:00,32.0,61.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,11:00,31.0,58.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,12:00,31.0,59.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,13:00,29.0,55.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,14:00,34.0,57.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,15:00,24.0,47.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,16:00,3.0,43.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,17:00,NaN,43.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,18:00,12.0,43.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,19:00,22.0,50.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,20:00,27.0,47.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,21:00,23.0,28.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,22:00,15.0,39.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-04,23:00,9.0,44.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,00:00,13.0,37.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,01:00,21.0,50.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,02:00,11.0,51.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,03:00,12.0,54.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,04:00,24.0,46.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,05:00,31.0,53.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,06:00,29.0,68.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,07:00,33.0,80.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,08:00,41.0,77.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,09:00,46.0,76.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,10:00,53.0,78.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,11:00,59.0,66.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,12:00,52.0,57.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,13:00,43.0,50.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,14:00,37.0,46.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,15:00,31.0,33.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,16:00,23.0,31.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,17:00,16.0,31.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,18:00,21.0,41.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,19:00,26.0,52.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,20:00,27.0,62.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,21:00,23.0,67.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,22:00,21.0,74.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-05,23:00,28.0,77.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,00:00,36.0,71.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,01:00,41.0,62.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,02:00,40.0,45.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,03:00,42.0,56.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,04:00,41.0,62.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,05:00,41.0,67.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,06:00,41.0,71.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,07:00,40.0,68.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,08:00,34.0,70.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,09:00,35.0,79.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,10:00,42.0,73.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,11:00,52.0,64.0,National Housing Authority Klongchan,13.779539,100.645654
2021-01-06,12:00,55.0,61.0,National Housing Authority Klongchan,13.779539,100.645654
