date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,13.0,51.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,01:00,15.0,48.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,02:00,14.0,46.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,03:00,14.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,04:00,15.0,44.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,05:00,16.0,33.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,06:00,17.0,34.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,07:00,17.0,32.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,08:00,18.0,35.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,09:00,17.0,35.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,10:00,15.0,49.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,11:00,18.0,40.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,12:00,19.0,37.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,13:00,17.0,32.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,14:00,15.0,33.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,15:00,14.0,29.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,16:00,13.0,33.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,17:00,12.0,33.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,18:00,14.0,37.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,19:00,16.0,34.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,20:00,19.0,37.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,21:00,21.0,38.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,22:00,22.0,41.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-01,23:00,24.0,44.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,00:00,25.0,36.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,01:00,25.0,39.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,02:00,21.0,41.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,03:00,19.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,04:00,19.0,39.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,05:00,19.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,06:00,18.0,39.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,07:00,16.0,33.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,08:00,15.0,35.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,09:00,14.0,31.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,10:00,7.0,32.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,11:00,11.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,12:00,16.0,34.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,13:00,21.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,14:00,19.0,38.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,15:00,19.0,35.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,16:00,21.0,50.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,17:00,21.0,43.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,18:00,16.0,36.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,19:00,19.0,41.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,20:00,26.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
2021-01-02,21:00,30.0,42.0,Health Promotion Hospital Bankhaohin,13.054551,101.098128
