date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,39.0,51.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,01:00,16.0,31.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,02:00,37.0,49.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,03:00,16.0,25.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,04:00,11.0,28.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,05:00,12.0,25.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,06:00,13.0,24.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,07:00,14.0,30.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,08:00,19.0,45.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,09:00,26.0,58.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,10:00,36.0,66.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,11:00,28.0,62.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,12:00,27.0,46.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,13:00,24.0,49.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,14:00,21.0,43.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,15:00,22.0,45.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,16:00,17.0,35.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,17:00,17.0,33.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,18:00,19.0,45.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,19:00,21.0,42.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,20:00,20.0,46.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,21:00,17.0,43.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,22:00,17.0,40.0,Hat Yai Municipality,7.020545,100.48404
2021-01-01,23:00,20.0,38.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,00:00,17.0,40.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,01:00,17.0,38.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,02:00,15.0,35.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,03:00,16.0,34.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,04:00,16.0,26.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,05:00,15.0,31.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,06:00,15.0,34.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,07:00,15.0,34.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,08:00,12.0,32.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,09:00,17.0,37.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,10:00,13.0,41.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,11:00,19.0,36.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,12:00,25.0,35.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,13:00,15.0,34.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,14:00,19.0,40.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,15:00,20.0,45.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,16:00,16.0,38.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,17:00,18.0,34.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,18:00,16.0,50.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,19:00,16.0,35.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,20:00,14.0,34.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,21:00,13.0,30.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,22:00,10.0,25.0,Hat Yai Municipality,7.020545,100.48404
2021-01-02,23:00,15.0,28.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,00:00,13.0,32.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,01:00,12.0,23.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,02:00,18.0,20.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,03:00,18.0,24.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,04:00,13.0,33.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,05:00,16.0,26.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,06:00,18.0,30.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,07:00,17.0,27.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,08:00,15.0,32.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,09:00,17.0,31.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,10:00,14.0,31.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,11:00,16.0,38.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,12:00,15.0,40.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,13:00,18.0,39.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,14:00,20.0,44.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,15:00,15.0,36.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,16:00,13.0,35.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,17:00,15.0,36.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,18:00,13.0,35.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,19:00,15.0,31.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,20:00,18.0,27.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,21:00,17.0,27.0,Hat Yai Municipality,7.020545,100.48404
2021-01-03,22:00,15.0,26.0,Hat Yai Municipality,7.020545,100.48404
