date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,29.0,42.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,01:00,21.0,36.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,02:00,17.0,40.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,03:00,22.0,29.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,04:00,20.0,30.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,05:00,20.0,34.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,06:00,20.0,27.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,07:00,24.0,32.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,08:00,21.0,34.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,09:00,23.0,32.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,10:00,22.0,37.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,11:00,18.0,33.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,12:00,31.0,37.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,13:00,29.0,42.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,14:00,25.0,37.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,15:00,26.0,39.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,16:00,26.0,38.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,17:00,31.0,42.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,18:00,26.0,35.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,19:00,23.0,38.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,20:00,33.0,47.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,21:00,36.0,50.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,22:00,37.0,50.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-01,23:00,46.0,53.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,00:00,43.0,51.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,01:00,35.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,02:00,46.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,03:00,42.0,45.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,04:00,37.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,05:00,48.0,56.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,06:00,49.0,53.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,07:00,36.0,41.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,08:00,33.0,42.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,09:00,32.0,41.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,10:00,36.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,11:00,43.0,49.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,12:00,41.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,13:00,31.0,43.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,14:00,31.0,42.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,15:00,30.0,37.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,16:00,29.0,41.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,17:00,25.0,41.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,18:00,32.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,19:00,29.0,53.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,20:00,37.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,21:00,42.0,56.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,22:00,34.0,43.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-02,23:00,37.0,49.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,00:00,43.0,60.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,01:00,48.0,59.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,02:00,49.0,54.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,03:00,42.0,55.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,04:00,48.0,54.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,05:00,66.0,80.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,06:00,93.0,95.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,07:00,46.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,08:00,38.0,44.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,09:00,38.0,42.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,10:00,40.0,47.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,11:00,56.0,64.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,12:00,53.0,62.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,13:00,47.0,56.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,14:00,41.0,63.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,15:00,38.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,16:00,43.0,63.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,17:00,51.0,70.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,18:00,50.0,71.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,19:00,47.0,64.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,20:00,44.0,86.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,21:00,44.0,67.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,22:00,60.0,69.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-03,23:00,50.0,59.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,00:00,45.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,01:00,48.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,02:00,57.0,64.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,03:00,65.0,72.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,04:00,62.0,74.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,05:00,57.0,68.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,06:00,59.0,66.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,07:00,48.0,61.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,08:00,51.0,61.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,09:00,54.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,10:00,50.0,59.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,11:00,48.0,72.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,12:00,50.0,65.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,13:00,30.0,49.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,14:00,30.0,47.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,15:00,30.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,16:00,32.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,17:00,34.0,50.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,18:00,32.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,19:00,37.0,58.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,20:00,38.0,91.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,21:00,40.0,74.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,22:00,56.0,73.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-04,23:00,51.0,65.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,00:00,51.0,65.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,01:00,46.0,63.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,02:00,45.0,56.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,03:00,43.0,51.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,04:00,40.0,45.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,05:00,44.0,50.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,06:00,53.0,61.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,07:00,58.0,64.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,08:00,52.0,57.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,09:00,51.0,66.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,10:00,56.0,81.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,11:00,66.0,89.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,12:00,59.0,85.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,13:00,57.0,79.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,14:00,50.0,78.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,15:00,44.0,64.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,16:00,32.0,47.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,17:00,27.0,38.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,18:00,25.0,37.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,19:00,27.0,48.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,20:00,40.0,63.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,21:00,57.0,115.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,22:00,49.0,65.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-05,23:00,45.0,70.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,00:00,37.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,01:00,48.0,65.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,02:00,63.0,74.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,03:00,47.0,58.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,04:00,68.0,78.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,05:00,60.0,72.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,06:00,47.0,54.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,07:00,48.0,55.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,08:00,47.0,58.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,09:00,56.0,60.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,10:00,70.0,88.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,11:00,68.0,84.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,12:00,50.0,77.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,13:00,61.0,88.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,14:00,50.0,74.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,15:00,30.0,46.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,16:00,28.0,45.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,17:00,30.0,44.0,Thailand Knowledge Park Phayao,19.200226,99.893048
2021-01-06,18:00,32.0,56.0,Thailand Knowledge Park Phayao,19.200226,99.893048
