date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,23.0,37.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,01:00,23.0,41.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,02:00,22.0,46.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,03:00,24.0,44.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,04:00,26.0,39.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,05:00,28.0,33.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,06:00,29.0,31.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,07:00,24.0,28.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,08:00,20.0,33.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,09:00,18.0,21.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,10:00,17.0,29.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,11:00,20.0,33.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,12:00,20.0,34.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,13:00,19.0,35.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,14:00,12.0,42.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,15:00,13.0,36.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,16:00,13.0,35.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,17:00,12.0,37.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,18:00,14.0,35.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,19:00,16.0,31.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,20:00,19.0,32.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,21:00,23.0,28.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,22:00,25.0,28.0,The Government Public Relations Department,13.783143,100.540529
2021-01-01,23:00,25.0,36.0,The Government Public Relations Department,13.783143,100.540529
2021-01-02,00:00,24.0,31.0,The Government Public Relations Department,13.783143,100.540529
2021-01-02,01:00,23.0,28.0,The Government Public Relations Department,13.783143,100.540529
2021-01-02,02:00,21.0,33.0,The Government Public Relations Department,13.783143,100.540529
2021-01-02,03:00,21.0,37.0,The Government Public Relations Department,13.783143,100.540529
2021-01-02,04:00,25.0,44.0,The Government Public Relations Department,13.783143,100.540529
