date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,18.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,01:00,17.0,25.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,02:00,17.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,03:00,17.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,04:00,18.0,25.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,05:00,18.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,06:00,18.0,25.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,07:00,18.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,08:00,21.0,31.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,09:00,16.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,10:00,12.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,11:00,11.0,23.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,12:00,9.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,13:00,8.0,25.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,14:00,8.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,15:00,8.0,23.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,16:00,9.0,23.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,17:00,10.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,18:00,12.0,32.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,19:00,13.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,20:00,15.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,21:00,16.0,27.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,22:00,17.0,25.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-01,23:00,17.0,23.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,00:00,18.0,25.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,01:00,20.0,29.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,02:00,22.0,30.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,03:00,25.0,34.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,04:00,29.0,38.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,05:00,31.0,40.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,06:00,34.0,45.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,07:00,37.0,50.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,08:00,39.0,56.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,09:00,34.0,49.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,10:00,31.0,45.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,11:00,28.0,43.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,12:00,24.0,38.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,13:00,22.0,38.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,14:00,20.0,35.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,15:00,18.0,34.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,16:00,16.0,33.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,17:00,15.0,31.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,18:00,17.0,33.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,19:00,18.0,39.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,20:00,17.0,31.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,21:00,19.0,35.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,22:00,21.0,37.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-02,23:00,23.0,40.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,00:00,25.0,41.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,01:00,27.0,42.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,02:00,28.0,41.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,03:00,29.0,42.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,04:00,31.0,45.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,05:00,36.0,51.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,06:00,36.0,52.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,07:00,40.0,55.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,08:00,43.0,65.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,09:00,39.0,58.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,10:00,38.0,56.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,11:00,33.0,52.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,12:00,26.0,43.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,13:00,21.0,38.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,14:00,18.0,33.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,15:00,14.0,27.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,16:00,10.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,17:00,9.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,18:00,11.0,32.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,19:00,12.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,20:00,9.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,21:00,9.0,21.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,22:00,11.0,21.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-03,23:00,11.0,18.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,00:00,12.0,18.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,01:00,11.0,17.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,02:00,10.0,15.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,03:00,11.0,16.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,04:00,11.0,16.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,05:00,12.0,16.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,06:00,12.0,17.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,07:00,16.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,08:00,17.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,09:00,13.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,10:00,14.0,29.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,11:00,12.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,12:00,12.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,13:00,11.0,21.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,14:00,11.0,22.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,15:00,11.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,16:00,10.0,24.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,17:00,10.0,28.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,18:00,11.0,31.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,19:00,12.0,27.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,20:00,15.0,26.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,21:00,19.0,29.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,22:00,23.0,32.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-04,23:00,30.0,39.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-05,00:00,35.0,43.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-05,01:00,41.0,52.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
2021-01-05,02:00,44.0,55.0,OTOP Center Ubon Ratchathani,15.24543345,104.8461514
