datetime,datetime_utc,pm2.5,lat,lon
2020-09-04 00:00:00,2020-09-03 17:00:00,18,17.97019444,102.57100000
2020-09-05 00:00:00,2020-09-04 17:00:00,20.1,17.97019444,102.57100000
2020-09-06 00:00:00,2020-09-05 17:00:00,18.4,17.97019444,102.57100000
2020-09-07 00:00:00,2020-09-06 17:00:00,13.7,17.97019444,102.57100000
2020-09-08 00:00:00,2020-09-07 17:00:00,7.7,17.97019444,102.57100000
2020-09-09 00:00:00,2020-09-08 17:00:00,10.7,17.97019444,102.57100000
2020-09-10 00:00:00,2020-09-09 17:00:00,11,17.97019444,102.57100000
2020-09-11 00:00:00,2020-09-10 17:00:00,12.2,17.97019444,102.57100000
2020-09-12 00:00:00,2020-09-11 17:00:00,15.2,17.97019444,102.57100000
2020-09-13 00:00:00,2020-09-12 17:00:00,14.9,17.97019444,102.57100000
2020-09-14 00:00:00,2020-09-13 17:00:00,17.4,17.97019444,102.57100000
2020-09-15 00:00:00,2020-09-14 17:00:00,15.7,17.97019444,102.57100000
2020-09-16 00:00:00,2020-09-15 17:00:00,14.6,17.97019444,102.57100000
2020-09-17 00:00:00,2020-09-16 17:00:00,23,17.97019444,102.57100000
2020-09-18 00:00:00,2020-09-17 17:00:00,10.7,17.97019444,102.57100000
2020-09-19 00:00:00,2020-09-18 17:00:00,8.9,17.97019444,102.57100000
2020-09-20 00:00:00,2020-09-19 17:00:00,5.3,17.97019444,102.57100000
2020-09-21 00:00:00,2020-09-20 17:00:00,15.6,17.97019444,102.57100000
2020-09-22 00:00:00,2020-09-21 17:00:00,10.5,17.97019444,102.57100000
2020-09-23 00:00:00,2020-09-22 17:00:00,15.3,17.97019444,102.57100000
2020-09-24 00:00:00,2020-09-23 17:00:00,10.3,17.97019444,102.57100000
2020-09-25 00:00:00,2020-09-24 17:00:00,17.3,17.97019444,102.57100000
2020-09-26 00:00:00,2020-09-25 17:00:00,12.1,17.97019444,102.57100000
2020-09-27 00:00:00,2020-09-26 17:00:00,15.5,17.97019444,102.57100000
2020-09-28 00:00:00,2020-09-27 17:00:00,17.6,17.97019444,102.57100000
2020-09-29 00:00:00,2020-09-28 17:00:00,14.6,17.97019444,102.57100000
2020-09-30 00:00:00,2020-09-29 17:00:00,13.2,17.97019444,102.57100000
2020-10-01 00:00:00,2020-09-30 17:00:00,13.5,17.97019444,102.57100000
2020-10-02 00:00:00,2020-10-01 17:00:00,17.4,17.97019444,102.57100000
2020-10-03 00:00:00,2020-10-02 17:00:00,12,17.97019444,102.57100000
2020-10-04 00:00:00,2020-10-03 17:00:00,17.1,17.97019444,102.57100000
2020-10-05 00:00:00,2020-10-04 17:00:00,18.3,17.97019444,102.57100000
2020-10-06 00:00:00,2020-10-05 17:00:00,14,17.97019444,102.57100000
2020-10-07 00:00:00,2020-10-06 17:00:00,21.4,17.97019444,102.57100000
2020-10-08 00:00:00,2020-10-07 17:00:00,16.7,17.97019444,102.57100000
2020-10-09 00:00:00,2020-10-08 17:00:00,21.3,17.97019444,102.57100000
2020-10-10 00:00:00,2020-10-09 17:00:00,18.6,17.97019444,102.57100000
2020-10-11 00:00:00,2020-10-10 17:00:00,21.6,17.97019444,102.57100000
2020-10-12 00:00:00,2020-10-11 17:00:00,19.1,17.97019444,102.57100000
2020-10-13 00:00:00,2020-10-12 17:00:00,20.7,17.97019444,102.57100000
2020-10-14 00:00:00,2020-10-13 17:00:00,21.4,17.97019444,102.57100000
2020-10-15 00:00:00,2020-10-14 17:00:00,15.5,17.97019444,102.57100000
2020-10-16 00:00:00,2020-10-15 17:00:00,17.4,17.97019444,102.57100000
2020-10-17 00:00:00,2020-10-16 17:00:00,11.9,17.97019444,102.57100000
2020-10-18 00:00:00,2020-10-17 17:00:00,5.6,17.97019444,102.57100000
2020-10-19 00:00:00,2020-10-18 17:00:00,10.5,17.97019444,102.57100000
2020-10-20 00:00:00,2020-10-19 17:00:00,15.4,17.97019444,102.57100000
2020-10-21 00:00:00,2020-10-20 17:00:00,13.3,17.97019444,102.57100000
2020-10-22 00:00:00,2020-10-21 17:00:00,20,17.97019444,102.57100000
2020-10-23 00:00:00,2020-10-22 17:00:00,22.6,17.97019444,102.57100000
2020-10-24 00:00:00,2020-10-23 17:00:00,46.6,17.97019444,102.57100000
2020-10-25 00:00:00,2020-10-24 17:00:00,35.1,17.97019444,102.57100000
2020-10-26 00:00:00,2020-10-25 17:00:00,26.8,17.97019444,102.57100000
2020-10-27 00:00:00,2020-10-26 17:00:00,31.3,17.97019444,102.57100000
2020-10-28 00:00:00,2020-10-27 17:00:00,32.9,17.97019444,102.57100000
2020-10-29 00:00:00,2020-10-28 17:00:00,14.1,17.97019444,102.57100000
2020-10-30 00:00:00,2020-10-29 17:00:00,13.3,17.97019444,102.57100000
2020-10-31 00:00:00,2020-10-30 17:00:00,16.7,17.97019444,102.57100000
2020-11-01 00:00:00,2020-10-31 17:00:00,16.8,17.97019444,102.57100000
2020-11-02 00:00:00,2020-11-01 17:00:00,18.8,17.97019444,102.57100000
2020-11-03 00:00:00,2020-11-02 17:00:00,24.9,17.97019444,102.57100000
2020-11-04 00:00:00,2020-11-03 17:00:00,19.5,17.97019444,102.57100000
2020-11-05 00:00:00,2020-11-04 17:00:00,22.7,17.97019444,102.57100000
2020-11-06 00:00:00,2020-11-05 17:00:00,22.7,17.97019444,102.57100000
2020-11-07 00:00:00,2020-11-06 17:00:00,29,17.97019444,102.57100000
2020-11-08 00:00:00,2020-11-07 17:00:00,24.4,17.97019444,102.57100000
2020-11-09 00:00:00,2020-11-08 17:00:00,32.1,17.97019444,102.57100000
2020-11-10 00:00:00,2020-11-09 17:00:00,37.5,17.97019444,102.57100000
2020-11-11 00:00:00,2020-11-10 17:00:00,27,17.97019444,102.57100000
2020-11-12 00:00:00,2020-11-11 17:00:00,26.3,17.97019444,102.57100000
2020-11-13 00:00:00,2020-11-12 17:00:00,47.3,17.97019444,102.57100000
2020-11-14 00:00:00,2020-11-13 17:00:00,60.7,17.97019444,102.57100000
2020-11-15 00:00:00,2020-11-14 17:00:00,29.2,17.97019444,102.57100000
2020-11-16 00:00:00,2020-11-15 17:00:00,22.8,17.97019444,102.57100000
2020-11-17 00:00:00,2020-11-16 17:00:00,25.3,17.97019444,102.57100000
2020-11-18 00:00:00,2020-11-17 17:00:00,28,17.97019444,102.57100000
2020-11-19 00:00:00,2020-11-18 17:00:00,33.3,17.97019444,102.57100000
2020-11-20 00:00:00,2020-11-19 17:00:00,32.4,17.97019444,102.57100000
2020-11-21 00:00:00,2020-11-20 17:00:00,36.9,17.97019444,102.57100000
2020-11-22 00:00:00,2020-11-21 17:00:00,39.7,17.97019444,102.57100000
2020-11-23 00:00:00,2020-11-22 17:00:00,20,17.97019444,102.57100000
2020-12-03 00:00:00,2020-12-02 17:00:00,28.2,17.97019444,102.57100000
